document_index,question,answer,llm_ans
0,Which enemy types wield an AK-47?,Assault-rifle wielding Bullet and Tankers wield AK-47s.,"Tankers and Bandana Bullet Kin wield AK-47s.  Tankers wield AK-47s, exhibiting higher health and rate of fire than Bullet Kin.  Bandana Bullet Kin wield machine pistols with a significantly increased fire rate.  The expression of Bandana Bullet Kin in their Ammonomicon profile resembles that of the Bullet’s avatar when talking to an NPC.  Tankers behave similarly to Bullet Kin, but have higher health and a larger magazine size."
0,What makes jammed enemies different?,"Jammed Keybullet Kin drop 2 keys instead of 1, jammed Chance Kins have a chance to drop twice the loot, and jammed red-Caped Bullet Kin deal contact damage. Additionally, Jammed Keybullet Kin Jammed variations run faster and will take less time to teleport away from the player if they are not destroyed quickly.","Jammed Keybullet Kin drop 2 keys instead of 1, and they run faster than regular Keybullet Kin. They also have a chance to drop twice the loot. Red-Caped Bullet Kin don’t deal contact damage unless jammed, and their design may be inspired by The Kid from I Wanna Be The Guy. Jammed variations are faster and require less time to teleport away from the player."
1,What enemies are encountered in the second encounter?,26 kobolds and 1 kobold inventor are encountered in the second encounter.,"The second encounter involves a burly, grey-skinned giant with dark iron armor and menacing spikes."
1,What monsters are encountered in this journey?,"Ropers, kobolds, kobold inventors, fire giants, and fire giant dreadnoughts.","The journey encounters kobolds, specifically timid kobolds. The kobolds are part of the Kryn, a group of subterranean creatures. They navigate a protracted tunnel system, encountering traps and a “Ruder Awakening” – a trap set by a trapper. These kobolds are scavengers and know the tunnels well, but are timid."
2,What framework was chosen to execute the RAG process and what alternatives were considered?,The LangChain framework was used to orchestrate the RAG process. Llamaindex and LitGPT were also considered during development. Llmware was considered after development had finished.,"The framework chosen was RAG, as the context states it was an obvious choice due to its performance, support, and suitability for resource-constrained environments. The alternative considered was a new, fancy framework that wasn’t as tried-and-tested. The model also wasn’t a UI, but it was capable of querying unstructured text. While the framework is capable of querying unstructured text, it hallucinates a lot, and the context suggests the researcher would prefer a more tried-and-tested approach."
2,Which large language models and vector databases were shortlisted for this project?,"The tinyllama-1.1b-chat-v1.0 Q6_K, Phi 3 Q4_K_M"", bartowski/dolphin-2.8-experiment26-7b-GGUF Q3_K_L, mgonzs13/Mistroll-7B-v2.2-GGU, and QuantFactory/Meta-Llama-3-8B-Instruct Q3_K_M large language models and the Chroma, Qdrant, and Vespa vector databases were shortlisted for this project.",The project shortlisted Python and LangChain for evaluation. The TREC 2024 RAG Corpus was considered as an alternative dataset. This corpus is a 28 GB text document collection with tagged queries. The documents are relatively short and describe a wide range of topics. Python’s familiarity and support for machine learning make it an obvious choice for the RAG process.
3,What kind of model is the bling-phi-3 model,"The bling-phi-3 model is the newest and most accurate BLING/DRAGON model. BLING models are small CPU-based RAG-optimized, instruct-following 1B-3B parameter models. DRAGON models are production-grade RAG-optimized 6-7B parameter models - ""Delivering RAG on ..."" the leading foundation base models.","The bling-phi-3 model is a 3B quantized question-answering model. It is a small CPU-based model, suitable for deployment on less powerful hardware. BLING models are out-of-the-box registered options in the catalog. The new model, bling-stablelm-3b-tool, is fast and accurate."
3,In which versions were the SLIM models updated?,"The SLIM models were updated in versions 0.2.3, 0.2.6, 0.2.12, 0.3.0, and 0.3.1.","The SLIM models were updated in the following versions: 0.2.6, 0.2.11, 0.2.15, 0.2.14, 0.2.12, 0.2.9, 0.2.15, 0.2.14."
4,What are the ways of grouping UI elements together?,"UI elements can be grouped together using the following methods:
- Create an array of UI elements.
- Create a dictionary of UI elements.
- Embed a dynamic number of UI elements in another output.
- Create a hstack (or vstack) of UI elements with on_change handlers.
- Create a table column of buttons with on_change handlers
- Create a form with multiple UI elements.","Marimo uses mo.ui.dictionary to group UI elements into a list, and mo.ui.array to retrieve them from the container.  It then displays these elements elsewhere.  You can also use dictionary.value to retrieve the values of the UI elements.  Marimo allows for dynamic grouping of UI elements, enabling them to be displayed in various layouts like hstack or vstack."
4,What are the parameters for the mo.ui.text function?,The parameters for mo.ui.text are label and placeholder. These are both optional.,"mo.ui.text() takes a single argument: a string.
The function formats a string into a text element."
5,What are the given examples of common challenges?,"The given examples of common challenges are: ""you create a comprehensive analysis but nobody is acting on it""; ""you ran an experiment but nobody is using the results""; ""you built a predictive model, but the team you built it for is not using it""; and ""you created a dashboard but nobody is looking at it"".","The provided text discusses common challenges in delivering impactful results. These challenges include a lack of action on analysis results, failing to leverage experiment findings, and executing analyses without proper interpretation. It highlights the importance of clear recommendations and scoping work before launching projects.  The text suggests that blindly following requests often leads to wasted effort and a lack of tangible business impact."
