document_index,question,answer,llm_ans
0,What do keybullet kin drop?,Keybullet kin drop a key upon death.,Keybullet Kin drop a key upon death.
0,What kind of gun does the bandana bullet kin use?,The bandana bullet kin wields a machine pistol.,Bandana Bullet Kin wield Machine Pistols.
1,What do the giants look like?,"One giant is burly, grey-skinned, and 20 feet tall. It wears heavy dark iron armour covered in metal torns. It is leaning against a chamber wall, carrying what looks to be two tower shields nearly as tall as itself, both bearing
menacing spikes.

The other giant  stands a tall giant in more mobile iron, clutching a dangerous-looking maul the size of Yasha, also leaning and looking disinterested.","The giants are described as a burly, grey-skinned giant with heavy armor of dark iron riddled with metal torns. They are around 20 feet tall and carry two tower shields nearly as tall as themselves, both bearing menacing spikes. They also appear to be leaning against the chamber wall, carrying what looks like two tower shields. The giants are also described as being timid, but know the tunnels well."
1,What happens on day 2?,"After a few miles of winding tunnel, you emerge in a smaller grotto of stalactites and stalagmites dripping with condensation. Unsure if the same underground river, or another water source, is nearby, you can see quite a bit of ground water does funnel down into this area.

You encounter 2 ropers seeking the next burrowed entrance left by the Kryn.","After a few miles of winding tunnel, you emerge in a smaller grotto of stalactites and stalagmites dripping with condensation."
2,What were the requirements for the project?,"The tool had the following requirements:
- Chatbot that you can ask questions and get answers in response (conversational memory is not required).
- Information is taken from an unstructured text file.
- It must be able to tell me if it doesn’t know the answer to my question.
- Fast.
- Efficient enough to run on my MacBook with other programs without any performance issues.
- Locally run for privacy and to ensure it will always be free, runnable, and consistent.","The project’s primary requirements centered around a lightweight, locally runnable system for STICI-note.  It needed to be fast and compatible with a MacBook. The goal was to build a prototype to validate the feasibility of the idea.  Evaluating solutions is crucial – without evaluation, it’s impossible to know if a solution is effective.  The project’s plan involves a phased approach, starting with a tech stack and data flow, culminating in a prototype to assess and compare options.  The available code is accessible for this project’s planning and development."
2,What data did was used to test the prototype?,Grace Hopper's Wikipedia page and Alan Turing's Wikipedia page were used to test the prototype.,The prototype was tested with two versions: one with Grace Hopper’s Wikipedia page and one with Alan Turing’s Wikipedia page. The question asked: “What programming language was Grace Hopper known for creating?” The version with Alan Turing’s Wikipedia page hallucinated an entire response. The tech stack and data flow for the prototype were planned and built to determine model size and precision. Models were tested on the Hugging Face H4 Open LLM Leaderboard.
3,How do the data storage options compare?,"For fast start: use SQLite3 and ChromaDB (File-based) out-of-the-box - no install required.
For speed + scale: use MongoDB (text collection) and Milvus (vector db) - install with Docker Compose
For postgres: use Postgres for both text collection and vector DB - install with Docker Compose
For mix-and-match: LLMWare supports 3 text collection databases (Mongo, Postgres, SQLite) and 10 vector databases (Milvus, PGVector-Postgres, Neo4j, Redis, Mongo-Atlas, Qdrant, Faiss, LanceDB, ChromaDB and Pinecone).","Here’s a comparison of the data storage options presented in the context:

*   **SQLite3 and ChromaDB (File-based):** Out-of-the-box, no installation required.
*   **MongoDB (text collection):** Requires installation with Docker Compose.
*   **Postgres:** Requires installation with Docker Compose.
*   **Milvus (vector db):** Requires installation with Docker Compose.
*   **SLIM model series:** Fine-tuned for function calling and multi-step, multi-model Agent workflows.
*   **DRAGON model series:** Production-grade RAG-optimized 6-7B parameter models.
*   **Mix-and-Match:** Supports 3 text collection databases (Mongo, Postgres, SQLite) and 10 vector databases (Milvus, PGVector-Postgres, Neo4j, Redis, Mongo-Atlas, Qdrant, Faiss, LanceDB, ChromaDB and Pinecone)."
3,When was UTF-8 support added for European languages?,UTF-8 support was added for European languages on Wednesday 3rd April in the v0.2.7 Update.,"UTF-8 encoding for European languages was added in Version 0.8. The update was made on January 19, 2024."
4,How do I make a button?,"import marimo as mo

button = mo.ui.run_button()
button

mo.stop(not button.value, ""Click 'run' to generate a random number"")

import random
random.randint(0, 1000).","I can help with that! To create a button, you can use the `mo.ui.button` component and its `on_click` argument to increment a counter value.  Then, you can use `mo.ui.table.create_buttons` to create a button array and pass it to `mo.ui.table.display`.  The `on_click` argument increments the counter value on each click.  You can also use `mo.stop` to stop the counter when a button is clicked."
4,When might I use caching?,"You might use caching when, for example, your notebook computes t-SNE, UMAP, or PyMDE embeddings.","Caching is useful when compute_predictions is called with the same parameters repeatedly, instead of recomputing the predictions. The function will store the previous value in a cache and return it the next time. This speeds up notebook execution and reduces redundant computations. Cache is particularly helpful for expensive intermediate computations like t-SNE or UMAP embeddings."
